label,"TF(Term frequency) of body","TF of anchor","TF of title","TF of URL","TF of whole document","IDF(Inverse document frequency) of body","IDF of anchor","IDF of title","IDF of URL","IDF of whole document","TF*IDF of body","TF*IDF of anchor","TF*IDF of title","TF*IDF of URL","TF*IDF of whole document","DL(Document length) of body","DL of anchor","DL of title","DL of URL","DL of whole document","BM25 of body","LMIR.ABS of body","LMIR.DIR of body","LMIR.JM of body","BM25 of anchor","LMIR.ABS of anchor","LMIR.DIR of anchor","LMIR.JM of anchor","BM25 of title","LMIR.ABS of title","LMIR.DIR of title","LMIR.JM of title","BM25 of URL","LMIR.ABS of URL","LMIR.DIR of URL","LMIR.JM of URL","BM25 of whole document","LMIR.ABS of whole document","LMIR.DIR of whole document","LMIR.JM of whole document",PageRank,"Inlink number","Outlink number","Number of slash in URL","Length of URL","Number of child page"
0,0.016838,0,0,0,0.015918,0,0,0,0,0,0.012773,0,0,0,0.010716,0.011498,0.6,0.4375,0.142857,0.01162,0.178842,0.248934,0.268948,0.145652,0,0,0,0,0,0,0,0,0,0,0,0,0.172728,0.244546,0.265798,0.13994,0.166667,0.211111,0,0.038887,0.02381,0.166667
0,0.399171,0,0,0,0.398964,0,0,0,0,0,0.065865,0,0,0,0.066049,1,1,0,0.5,1,0.192203,0.431017,0.43181,0.646438,0,0,0,0,0,0,0,0,0,0,0,0,0.196566,0.440104,0.435475,0.65095,0.5,0.673913,0,2.9E-05,0.214286,0
0,0.249267,0,0,0,0.249267,0,0,0,0,0,0.236646,0,0,0,0.238387,0.322172,0,0,0.047619,0.321966,0.274842,0.195243,0.223796,0.342143,0,0,0,0,0,0,0,0,0,0,0,0,0.273458,0.201858,0.229638,0.330841,0.166667,0.041667,0,0.00234,0.001043,0
0,0.077122,1,0,1,0.081389,0,0,0,0,0,0.92173,1,0,1,0.939307,0.033518,1,0,0.157895,0.034085,0.945966,1,1,1,0.66292,0.968268,1,1,0,0,0,0,1,1,1,1,0.998909,1,1,1,0.8,0.177083,0,0.103182,1,0.071429
0,0,0,0,0,0,0,0,0,0,0,0.077574,0,0,0,0.07853,0.00172,0.166667,0.114286,0.25,0.001375,0.181887,0,0.028945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157745,0,0.028731,0,0.6,0.641026,0,0.064343,0.2,0.013575
0,0,0,0,0,0,0,0,0,0,0,0.002935,0,0,0,0.001147,0.000104,0,0.235294,0.25,0.000157,0.665542,0.868721,0.744688,0.823785,0,0,0,0,0,0,0,0,0,0,0,0,0.62032,0.818122,0.728776,0.777331,0.5,0.289474,0,0,0,0
0,0.013623,0,0,0,0.013623,0,0,0,0,0,0.454258,0,0,0,0.458604,0.008298,0.073171,0.052632,0.111111,0.008408,0.757056,0.773273,0.613335,0.786768,0,0,0,0,0,0,0,0,0,0,0,0,0.740878,0.733999,0.606763,0.779966,0.181818,0.12037,0,0.000226,0.000583,0.021875
0,0.090648,0,0,0,0.090067,0,0,0,0,0,0.200979,0,0,0,0.202468,0.062144,0.021739,0.24,0.25,0.062262,0.604092,0.756226,0.888323,0.799031,0,0,0,0,0,0,0,0,0,0,0,0,0.574554,0.766503,0.888135,0.806306,0.25,0.290698,0,7.6E-05,0.00365,0
0,0.226221,0.25,0.333333,1,0.235897,0,0,0,0,0,0.258403,0.24892,0.426774,1,0.270426,0.307056,0.461538,0.909091,0.545455,0.308141,0.689618,0.697234,0.75682,0.65854,0.209509,0.091502,0.010922,0.028542,0.265597,0.114913,0.301714,0.063965,0.879925,0.539673,0.624539,0.540526,0.672826,0.655809,0.769191,0.66482,0.833333,0.383721,0,0.032085,0.25,0.025
0,0.006658,0,0,0,0.00467,0,0,0,0,0,0.138124,0,0,0,0.142056,0.015414,0.225806,0.291667,0.12,0.015323,0.008851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008596,0,0,0,0.666667,0.169355,0,0.001729,0.000786,0.512821
1,0.310522,0.5,0.5,0,0.312233,0,0,0,0,0,0.293103,0.435787,0.432403,0,0.292814,0.155793,0.428571,0.545455,0.75,0.155885,0.682757,0.840969,0.862475,0.754288,0.320931,0.048317,0,0,0.389639,0,0,0,0,0,0,0,0.672687,0.832164,0.861132,0.747254,0.5,0.586957,0,0.201278,0,0.111111
0,0.619932,0,0,0,0.619856,0,0,0,0,0,0.316003,0,0,0,0.316616,0.60954,0.12,0.142857,0.2,0.60956,0.237019,0.127929,0.299786,0.313823,0,0,0,0,0,0,0,0,0,0,0,0,0.231514,0.155126,0.293843,0.357015,0.5,0.318681,0,2.6E-05,9.6E-05,0
0,0.012626,1,0.125,1,0.02,0,0,0,0,0,0.023223,0.780138,0.061939,0.386369,0.025902,0.063841,0.222222,0.636364,1,0.072029,0.939214,0.492564,0.334288,0.435687,0.543317,0.473992,0.219184,0.618313,0.076917,0,0,0,0.146469,0,0.006616,0.008658,0.89394,0.626723,0.321084,0.541427,1,1,0,0.026189,0,0.545455
0,0.00466,0,0,0,0.002668,0,0,0,0,0,0.142054,0,0,0,0.146006,0.006872,0,0.25,0.04,0.006536,0.315647,0.348937,0.304584,0.387267,0,0,0,0,0,0,0,0,0,0,0,0,0.304556,0.355255,0.302983,0.382922,0.333333,0.120968,0,0,0,0.051282
0,0.139049,0.8,1,0,0.14047,0,0,0,0,0,0.448064,1,1,0,0.453797,0.088418,0.341463,0.708333,0.125,0.088918,0.320544,0.641463,0.691804,0.641591,0.345021,0.653544,0.542412,0.566694,0.459284,0.645077,0.371555,0.915201,0,0,0,0,0.321813,0.643461,0.691427,0.654162,0.125,0.170732,0,0.022089,0.02439,0.083969
0,0.010204,0,0,0,0.010204,0,0,0,0,0,0.010142,0,0,0,0.006116,0.0581,0.6875,0,0.25,0.058632,0.471613,0.891574,0.97792,0.914906,0,0,0,0,0,0,0,0,0,0,0,0,0.441025,0.891881,0.975409,0.915002,0.333333,0.074074,0,0.03373,0.125,0
0,0,0,0.5,1,0,0,0,0,0,0,0,0,0.548783,1,0,0,0,0.1,1,0,0,0.180842,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.024208,0.06648,0.006121,0,0,1,0,0.041845,0,0
0,0.907821,0,0,0.333333,0.898072,0,0,0,0,0,0.867213,0,0,0.345576,0.856161,0.4161,0.166667,0,1,0.416161,0.66374,0.707192,0.772929,0.73598,0,0,0,0,0,0,0,0,0.409117,0,0,0,0.666128,0.703729,0.772436,0.733693,1,1,0,0.0258,0.142857,0
2,0.042442,0.4,0,0.333333,0.044186,0,0,0,0,0,0.042101,0.406675,0,0.290004,0.044895,0.022034,0.285714,0,0.090909,0.022054,0.854247,0.875385,0.883763,0.897095,0.551508,0.616552,0.60812,0.559104,0,0,0,0,0.290004,0.12073,0.001495,0.038308,0.839701,0.867662,0.90124,0.887332,0.142857,0.285714,0,0.000436,0.015625,0
2,0.123992,1,1,1,0.13004,0,0,0,0,0,0.112694,1,1,1,0.118086,0.101925,0.066667,0.05,0.055556,0.101764,0.915909,0.744741,0.916488,0.711012,1,1,1,1,1,1,1,1,1,0,0,0,0.920716,0.778411,0.925718,0.75084,0.2,0.3625,0,0.003389,0.105263,0.263158
0,0.004963,0,0,0,0.003727,0,0,0,0,0,0.001913,0,0,0,0.001249,0.001611,0,0.266667,0.375,0.001911,0.285439,0.409497,0.233572,0.374562,0,0,0,0,0,0,0,0,0,0,0,0,0.276016,0.379039,0.233305,0.373204,0.5,0.245902,0,0,0,0
1,0.030902,0.061224,1,0,0.033777,0,0,0,0,0,0.426558,0.054869,1,0,0.43446,0.009372,0.025,0.368421,0.190476,0.009352,0.997405,0.995059,0.955136,0.99442,0.904119,0.649406,0.384931,0.603292,1,1,1,1,0,0,0,0,0.992655,0.995389,0.971019,0.995118,0.25,0.227273,0,0.000107,0.00082,0.073482
0,0.02641,0,0,0,0.026107,0,0,0,0,0,0.92619,0,0,0,0.928186,0.033919,0.230769,0.2,0.4,0.033988,0.330103,0.419147,0.473161,0.534101,0,0,0,0,0,0,0,0,0,0,0,0,0.29228,0.335605,0.413795,0.426261,0.75,0.525,0,0.00744,0.041667,0.030769
0,0.075386,0,0,0.5,0.075588,0,0,0,0,0,0.084452,0,0,0.117695,0.091759,0.126184,0.6,0.176471,0.230769,0.126326,0.181479,0.666171,0.553369,0.691848,0,0,0,0,0,0,0,0,0.192887,0.013684,0.001193,0.010212,0.170713,0.66418,0.553782,0.691295,0.6,0.039604,0,0.01786,0.045714,0.098039
0,0.007797,0,0,0.333333,0.009671,0,0,0,0,0,0.014934,0,0,0.310716,0.01752,0.002744,0,0.357143,1,0.003234,0.55981,0.514069,0.5028,0.358846,0,0,0,0,0,0,0,0,0.162367,0.075125,0.245597,0.114705,0.549242,0.491584,0.497955,0.343977,0.666667,0.972973,0,0,0,0
0,0.002561,0.333333,0.333333,1,0.003841,0,0,0,0,0,0.00764,0.330016,0.328001,1,0.013258,0.000861,0.103448,0.133333,0.25,0.000933,0.401746,0.235988,0.211911,0,0.821059,0.511109,0.419169,0.386019,0.807564,0.519546,0.411437,0.387172,0.956492,0.978447,0.999221,0.976652,0.322485,0.230228,0.242325,0.061571,0,0.253731,0,0.001529,0.020408,0.086957
0,0.040956,1,0,0,0.044369,0,0,0,0,0,0.040956,1,0,0,0.044369,0.0025,0.035714,0.777778,0.470588,0.002391,0.714357,0.666957,0.593441,0.553632,1,1,1,1,0,0,0,0,0,0,0,0,0.712931,0.648121,0.599204,0.545056,0.666667,0.648649,0,0.057055,0.091837,0.00969
0,0.1875,0,0,0,0.1875,0,0,0,0,0,0.1875,0,0,0,0.1875,0.39162,0,0,0.75,0.391673,0.16068,0.524284,0.545564,0.429478,0,0,0,0,0,0,0,0,0,0,0,0,0.165142,0.528947,0.546194,0.433864,0.875,0.741935,0,0,0,0
0,0.015873,0.333333,0.25,0,0.017316,0,0,0,0,0,0.070101,0.333333,0.310007,0,0.076932,0.006025,0.05,0.3,0.285714,0.006175,0.88684,0.860645,0.656791,0.907619,0.367328,0.120782,0.004301,0.055437,0.447089,0.442077,0.498372,0.298041,0,0,0,0,0.879568,0.849381,0.666462,0.899402,0.6,0.329787,0,0.000192,0.000119,0.064935
0,0.019287,1,0,0,0.01986,0,0,0,0,0,0.025573,1,0,0,0.026479,0.007297,0.15,0.045455,0.285714,0.007298,0.820609,0.689635,0.717883,0.615085,0.534257,0.86537,0.998632,0.88623,0,0,0,0,0,0,0,0,0.821506,0.695257,0.720609,0.620052,0.333333,0.388889,0,0.004672,0.002817,0.176471
